"Machen_ChristianityLiberalism" "Machen_LitHistNT" "Machen_OriginPaulReligion" "Mencken_AmericanLanguage" "Mencken_DefenseWomen" "Mencken_Nietzche" "Poe_FallHouseUsher" "Poe_Works1" "Rian_Unbelief" "VanTil_ChristianTheisticEthics" "VanTil_ProtestantDoctrineScripture" "VanTil_SurveyChristianEpistemology"
"new" 0.272776868521549 0.293876808297698 0.127230751082725 0.349008242164721 0.0577200577200577 0.0773734299641503 0.0293599530240752 0.0466818736406557 0.780944943381492 0.191742076540661 0.106028217186832 0.0544074266137328
"christian" 0.566671946218961 0.262032572104449 0.113749346994489 0.00435172371776461 0.0192400192400192 0.0593196296391819 0 0.00106095167365127 0.195236235845373 0.257680528201702 0.205215904232578 0.235482143312562
"christ" 0.244619256287067 0.332999727049404 0.301646416474276 0.000870344743552921 0.00481000481000481 0.0167642431588992 0 0.00106095167365127 0.117141741507224 0.168316573976869 0.494228302693459 0.102013924900749
"our" 0.309733734579308 0.120098262214539 0.0269628081764716 0.124459298328068 0.0336700336700337 0.135403502437263 0.156586416128401 0.160203702721341 0.390472471690746 0.234255025637911 0.123129542539547 0.242283071639279
"very" 0.239339703993101 0.190155581839687 0.188739657235301 0.120977919353856 0.149110149110149 0.119928816444433 0.127226463104326 0.252506498329001 0.0780944943381492 0.0798202309581031 0.0735356990166738 0.130067754248455
"life" 0.329092092990514 0.282048949140206 0.205591412345596 0.0313324107679052 0.0986050986050986 0.245015861553143 0.0293599530240752 0.0477428253143069 0.0390472471690746 0.185668798098196 0.056434373663959 0.0688593993080055
"world" 0.214701793287929 0.164680192885088 0.0935272408621358 0.0234993080759289 0.122655122655123 0.134113945271194 0.00978665100802505 0.031828550209538 0.117141741507224 0.177860297243599 0.295852928601967 0.30009096241637
"men" 0.265737465462929 0.130106450732417 0.100267942906254 0.0382951687163285 0.536315536315536 0.234699404224589 0.0195733020160501 0.0233409368203278 0.0390472471690746 0.171787018801135 0.300983326207781 0.068009283267166
"fact" 0.140788061172413 0.0755163315439905 0.147452857215079 0.0530910293567282 0.177970177970178 0.158615531426508 0.00978665100802505 0.0583523420508196 0.117141741507224 0.118862735231088 0.266780675502351 0.328994907804915
"then" 0.184784330288792 0.13556546265126 0.155878734770226 0.0731089584584454 0.0913900913900914 0.0722152012998736 0.0391466040321002 0.123070394143547 0.0390472471690746 0.19434491015886 0.215476699444207 0.193826457311423
"some" 0.11615015046724 0.181967063961423 0.133971453126843 0.147958606403997 0.1996151996152 0.162484202924716 0.166373067136426 0.224921754814068 0.156188988676298 0.077217397339904 0.0923471569046601 0.113065433431663
"these" 0.0686341798215511 0.178327722682195 0.113749346994489 0.144477227429785 0.0745550745550746 0.127666159440848 0.127226463104326 0.17611797782611 0.42951971885982 0.108451400758292 0.121419410004275 0.171723440249594
"about" 0.144307762701723 0.142844145209717 0.186211893968757 0.0356841344856698 0.105820105820106 0.0773734299641503 0.205519671168526 0.214312238077556 0.0390472471690746 0.0937020102551645 0.155622060709705 0.189575877107225
"also" 0.119669851996551 0.202893276316987 0.161776849058829 0.167106190762161 0.0553150553150553 0.100585458953395 0.0293599530240752 0.0594132937244709 0.0390472471690746 0.136214959352415 0.109448482257375 0.137718798616011
"could" 0.10911074740862 0.134655627331453 0.171045314369492 0.0365544792292227 0.0721500721500721 0.0735047584659428 0.156586416128401 0.247201739960745 0.234283483014447 0.141420626588813 0.0974775545104746 0.16067193171868
"between" 0.103831195114654 0.0937130379401328 0.162619436814344 0.0974786112779272 0.0505050505050505 0.0876898872927037 0.0293599530240752 0.0594132937244709 0.273330730183522 0.233387414431845 0.152201795639162 0.187875645025546
"church" 0.318532988402583 0.462196342462014 0.210646938878684 0.0139255158968467 0.0168350168350168 0.0245015861553143 0.00978665100802505 0.00106095167365127 1.83522061694651 0.0329692258305208 0.141941000427533 0.0331545255927434
"do" 0.151347165760344 0.0764261668637976 0.0564533796194874 0.07746068217621 0.0986050986050986 0.10961235911588 0.176159718144451 0.113521829080685 0.0780944943381492 0.196947743777059 0.227447627191107 0.198077037515621
"thought" 0.056315224468965 0.063688472386498 0.125545575571696 0.0191475843581643 0.0384800384800385 0.0889794444587729 0.0782932080642004 0.0647180520927272 0 0.231652192019712 0.099187687045746 0.342596764458349
